2.8264  MSE 26360.6113, SSIM 0.0101
160 0.8788  MSE 22878.2979, SSIM 0.0123
170 0.8771  MSE 23033.3447, SSIM 0.0183
180 0.8755  MSE 23050.7969, SSIM 0.0135
190 0.8744  MSE 23480.6475, SSIM 0.0147
0 208.4864  MSE 24104.4502, SSIM 0.0072
10 157.4223  MSE 23336.2754, SSIM 0.0190
20 154.5516  MSE 24078.3994, SSIM -0.0046
30 153.4045  MSE 23127.8301, SSIM 0.0110
40 152.5388  MSE 22642.4287, SSIM 0.0088
50 151.8591  MSE 23006.4775, SSIM 0.0088
60 151.3773  MSE 22607.3545, SSIM 0.0107
70 151.0128  MSE 23816.9258, SSIM -0.0012
80 150.7143  MSE 23431.7422, SSIM 0.0127
90 150.3453  MSE 23690.2061, SSIM 0.0173
100 150.0468  MSE 23310.5166, SSIM 0.0046
110 149.7828  MSE 23975.0527, SSIM 0.0194
120 149.5362  MSE 22883.4668, SSIM -0.0026
130 149.3329  MSE 23865.9541, SSIM -0.0149
140 149.1825  MSE 22900.2637, SSIM 0.0245
150 149.0161  MSE 23369.8174, SSIM 0.0138
160 148.8397  MSE 23855.3623, SSIM 0.0022
170 148.6998  MSE 23298.2061, SSIM 0.0047
180 148.5177  MSE 23417.8125, SSIM -0.0024
190 148.3908  MSE 23519.8965, SSIM 0.0087
0 168.3810  MSE 29154.6045, SSIM -0.0093
10 3.2114  MSE 29584.0078, SSIM -0.0212
20 0.2735  MSE 27078.2930, SSIM 0.0281
30 0.0568  MSE 21238.4355, SSIM 0.1336
40 0.0174  MSE 17007.1455, SSIM 0.2766
50 0.0068  MSE 12540.6494, SSIM 0.4093
60 0.0031  MSE 8985.1465, SSIM 0.5410
70 0.0014  MSE 6638.0830, SSIM 0.6510
80 0.0007  MSE 4369.8584, SSIM 0.7299
90 0.0004  MSE 3363.4971, SSIM 0.7954
100 0.0002  MSE 2405.4658, SSIM 0.8631
110 0.0001  MSE 1104.5273, SSIM 0.9175
120 0.0001  MSE 817.7236, SSIM 0.9417
130 0.0000  MSE 377.9766, SSIM 0.9622
140 0.0000  MSE 363.1865, SSIM 0.9743
150 0.0000  MSE 286.1318, SSIM 0.9808
160 0.0000  MSE 220.3750, SSIM 0.9856
170 0.0000  MSE 147.4521, SSIM 0.9899
0 362.5832  MSE 27703.7920, SSIM 0.0255
10 155.5530  MSE 27882.1924, SSIM 0.0096
20 146.2681  MSE 28282.4268, SSIM 0.0053
30 143.3457  MSE 28362.8145, SSIM 0.0025
40 141.8526  MSE 28354.8076, SSIM 0.0101
50 140.8741  MSE 28579.7725, SSIM -0.0077
60 140.2655  MSE 29247.8887, SSIM 0.0069
70 139.8755  MSE 28338.1650, SSIM 0.0233
80 139.5627  MSE 28215.2793, SSIM 0.0232
90 139.2986  MSE 28145.4707, SSIM 0.0154
100 139.0681  MSE 28309.7061, SSIM -0.0041
110 138.9117  MSE 29029.1670, SSIM -0.0165
120 138.7771  MSE 28057.4893, SSIM 0.0054
130 138.5940  MSE 28780.3721, SSIM -0.0064
140 138.4562  MSE 28645.4385, SSIM -0.0048
150 138.3509  MSE 28067.5889, SSIM -0.0089
160 138.2536  MSE 27643.4424, SSIM 0.0232
170 138.1815  MSE 29048.0557, SSIM 0.0059
180 138.1233  MSE 29057.1523, SSIM 0.0239
190 138.0670  MSE 28951.3330, SSIM 0.0225
0 90.5729  MSE 24888.8555, SSIM 0.0284
10 21.4832  MSE 24797.3096, SSIM 0.0158
20 13.6823  MSE 25262.1074, SSIM 0.0218
30 9.2271  MSE 25727.0322, SSIM 0.0220
